normalised_date,timestamp,high,low,volume,weightedPrice,timestampINT
2019-05-25,1558785489.288703,8050.383152022299,8041.575244072519,2.344249129177131,8046.300617381784,1558785489.288703
2019-05-26,1558871991.8907564,8134.230105042013,8121.538305322117,5.97115661377451,8128.546958223451,1558871991.8907564
2019-05-27,1558958370.0,8791.690368055552,8776.536090277763,6.213906023444439,8784.562189371667,1558958370.0
2019-05-28,1559044760.6393328,8732.25292564281,8721.685156358573,4.26963950362057,8727.337766359067,1559044760.6393328
2019-05-29,1559131170.0,8652.926958333323,8642.611138888897,5.266845735375004,8648.244324281599,1559131170.0
2019-05-30,1559217570.0,8639.28140972222,8625.838208333336,10.596936059409716,8632.743963722436,1559217570.0
2019-05-31,1559303970.0,8357.650125000002,8344.550868055541,6.915215323229168,8351.777835872286,1559303970.0
2019-06-01,1559390264.298674,8548.073879972086,8538.870697836704,3.6057580649406833,8543.924060004654,1559390264.298674
2019-06-02,1559476633.375262,8674.351111111127,8664.817861635234,2.9790609121593317,8670.265812880712,1559476633.375262
2019-06-03,1559563170.333797,8538.372726008338,8526.150090403322,6.922832141126567,8532.593172662384,1559563170.333797
2019-06-04,1559649675.7939308,7859.535518701478,7841.81736767819,10.928512456040925,7850.979304918054,1559649675.7939308
2019-06-05,1559735989.6594858,7778.764510076449,7767.074252953438,6.38895892122307,7773.4777406099365,1559735989.6594858
2019-06-06,1559822370.0,7756.085194444433,7746.671756944448,6.068518304833327,7751.680285119101,1559822370.0
2019-06-07,1559908816.8567455,7942.486300417244,7935.0425452016625,6.26710442242699,7938.729206254168,1559908816.8567455
2019-06-08,1559995146.012703,7944.33467184191,7937.483013408612,3.4369199487720548,7940.5253349988625,1559995146.012703
2019-06-09,1560081730.5211267,7802.216647887332,7795.435302816907,2.743555003788732,7798.498155120784,1560081730.5211267
2019-06-10,1560167938.1092436,7823.658578431375,7815.7853641456595,5.007418975875346,7819.5486367820695,1560167938.1092436
2019-06-11,1560254399.2891986,7900.244529616741,7893.592104529621,3.8694690158257825,7896.830013286613,1560254399.2891986
2019-06-12,1560340764.6518106,8040.321775766013,8033.018649025063,5.9729543850069575,8036.509587763991,1560340764.6518106
2019-06-13,1560427191.8693538,8172.88929117441,8166.6090479499535,5.0297431486796365,8169.588231822856,1560427191.8693538
2019-06-14,1560513622.0041754,8357.086179540707,8349.66828810021,6.039144263256789,8353.217492064297,1560513622.0041754
2019-06-15,1560599942.8471737,8731.49780181438,8723.919839497546,3.6816141445219794,8727.687036371799,1560599942.8471737
2019-06-16,1560686342.1681724,9102.337310632385,9088.537567755387,10.437007196754685,9095.289101530452,1560686342.1681724
2019-06-17,1560772774.9235048,9241.898004172454,9230.023073713486,8.87410340574409,9235.846432505909,1560772774.9235048
2019-06-18,1560859150.9659486,9158.517414871441,9147.146831132719,7.8717539562056835,9152.500069336686,1560859150.9659486
2019-06-19,1560945552.2168171,9151.87797776233,9143.819145239748,3.257303574044473,9148.01395901445,1560945552.2168171
2019-06-20,1561031997.5816538,9357.54466296037,9348.808575399586,5.4692952323697055,9353.22648559646,1561031997.5816538
2019-06-21,1561118370.0,9807.485694444447,9795.590097222232,8.71743030155555,9801.48601844826,1561118370.0
2019-06-22,1561204770.0,10736.138965277789,10713.973687500018,9.52034744598612,10724.80500475833,1561204770.0
2019-06-23,1561291155.27121,10755.047524339363,10738.804353268422,5.056081927399158,10746.900511013211,1561291155.27121
2019-06-24,1561377570.0,10854.327069444427,10838.257631944447,5.727356813180555,10846.846268886118,1561377570.0
2019-06-25,1561463970.0,11324.347958333341,11306.070006944445,8.426091499076394,11315.817028152782,1561463970.0
2019-06-26,1561550370.0,12664.774180555549,12620.823527777788,26.03319612902086,12643.58268406806,1561550370.0
2019-06-27,1561636770.0,11831.69495833333,11778.703888888907,25.074278161965292,11804.629165520822,1561636770.0
2019-06-28,1561723153.3842947,11696.481139680338,11661.273926337724,13.007714793412092,11679.43835006045,1561723153.3842947
2019-06-29,1561809550.6323836,11868.978596247407,11838.507887421809,8.523973148380817,11854.537295204322,1561809550.6323836
2019-06-30,1561895970.0,11555.590083333344,11528.911624999993,8.779595640812493,11542.5519109653,1561895970.0
2019-07-01,1561982370.0,10702.947097222213,10674.453368055556,15.914886877805559,10688.316669892505,1561982370.0
2019-07-02,1562068770.0,10317.91552777779,10290.996590277773,14.08697677288195,10303.947255003688,1562068770.0
2019-07-03,1562155170.0,11358.799284722227,11331.609777777792,13.465176915048623,11345.214704756921,1562155170.0
2019-07-04,1562241570.0,11770.161270833352,11749.237576388872,7.767565419277799,11759.042504677078,1562241570.0
2019-07-05,1562327902.103064,11150.466928969352,11129.698168523677,8.282338405083568,11139.493770149711,1562327902.103064
2019-07-06,1562414254.231579,11423.864147368431,11407.80609824562,5.538370995171929,11415.369265018257,1562414254.231579
2019-07-07,1562500810.4895105,11318.463027972035,11304.801790209774,4.673465361643362,11311.47674802796,1562500810.4895105
2019-07-08,1562587164.8851774,11801.536722338209,11786.701572720942,8.282464088114127,11794.10358029435,1562587164.8851774
2019-07-09,1562673555.760945,12524.76756080613,12503.676421125774,10.504205965184148,12513.87310001388,1562673555.760945
2019-07-10,1562759970.0,12662.786201388873,12636.019340277784,13.77665968678472,12648.77722987224,1562759970.0
2019-07-11,1562846370.0,11597.299708333348,11570.177534722223,12.82547638918752,11583.33114395624,1562846370.0
2019-07-12,1562932734.9513214,11593.108449235051,11576.473344923497,6.381557322621692,11584.53226697636,1562932734.9513214
2019-07-13,1563019182.1973407,11437.534506648013,11420.892050384879,6.571975797305812,11428.597803701208,1563019182.1973407
2019-07-14,1563105733.868715,10868.697353351963,10846.717339385485,8.49888843409917,10857.026633891062,1563105733.868715
2019-07-15,1563191970.0,10429.99619444445,10405.632375000008,11.144463322263887,10417.313950106387,1563191970.0
2019-07-16,1563278391.285615,10369.940083391257,10342.783530229332,14.427399221688681,10355.675152687822,1563278391.285615
2019-07-17,1563364770.0,9589.777208333331,9565.205951388887,11.800545318972217,9577.424253618532,1563364770.0
2019-07-18,1563451170.0,10065.690340277777,10041.404423611102,12.70107095545137,10054.174637386332,1563451170.0
2019-07-19,1563537521.6027875,10482.453567944272,10462.767630662005,9.607983600822301,10472.448828593731,1563537521.6027875
2019-07-20,1563623964.6960168,10688.02431865829,10673.286128581394,6.9634338803773606,10680.276549055909,1563623964.6960168
2019-07-21,1563710240.2414773,10583.714602272727,10571.97801846588,3.997273981988627,10577.614454422597,1563710240.2414773
2019-07-22,1563796826.6294487,10457.592002791358,10443.683286810876,6.539641620593159,10450.157570706906,1563796826.6294487
2019-07-23,1563883207.7661796,10078.00995824634,10064.41782881002,6.291474478921369,10070.725015713168,1563883207.7661796
2019-07-24,1563969531.810585,9709.217249303634,9696.265856545962,6.5691818942688105,9702.591536684673,1563969531.810585
2019-07-25,1564056321.0930576,10023.164180206806,10011.166875923196,4.710456069313148,10016.952398913825,1564056321.0930576
2019-07-26,1564142216.6972477,9779.349230769236,9770.349026111498,3.930916829541286,9774.724239339514,1564142216.6972477
2019-07-27,1564228838.1895332,9734.517050919392,9722.83175388967,6.799223532666184,9728.204527019083,1564228838.1895332
2019-07-28,1564314971.2145455,9489.903585454536,9480.38317818182,2.807879866836362,9484.914105643693,1564314971.2145455
2019-07-29,1564401754.1649048,9544.391719520807,9534.737702607488,3.5719903518675125,9539.378363609236,1564401754.1649048
2019-07-30,1564487925.914506,9545.068016818524,9536.115977575339,3.8780456799509455,9540.448916710371,1564487925.914506
2019-07-31,1564574565.24109,9862.942040531098,9852.338805031455,5.532850088888888,9857.746978877933,1564574565.24109
2019-08-01,1564660781.7027216,10090.397292393576,10080.057145847863,5.360594807997211,10085.104546979139,1564660781.7027216
